Country_or_region,2015,2016,2017,2018,2019
Italy,0.228,0.167,0.173,0.137,0.158
Ivory Coast,0.202,0.203,0.201,0.146,0.154
Jamaica,0.212,0.222,0.234,0.096,0.107
Japan,0.107,0.102,0.121,0.079,0.069
Jordan,0.111,0.143,0.172,0.13,0.11
Kazakhstan,0.118,0.15,0.202,0.148,0.146
Kenya,0.375,0.413,0.445,0.352,0.372
Kosovo,0.283,0.28,0.32,0.274,0.262
Kuwait,0.162,0.16,0.228,0.167,0.142
Kyrgyzstan,0.3,0.384,0.429,0.281,0.3
Latvia,0.182,0.174,0.153,0.092,0.075
Lebanon,0.219,0.237,0.264,0.214,0.166
Liberia,0.244,0.241,0.267,0.206,0.233
Libya,0.183,0.171,0.152,0.116,0.133
Lithuania,0.026,0.02,0.01,0.026,0.043
Luxembourg,0.28,0.276,0.283,0.196,0.194
Madagascar,0.213,0.22,0.209,0.155,0.169
Malawi,0.331,0.31,0.287,0.21,0.218
Malaysia,0.331,0.415,0.417,0.311,0.26
Mali,0.188,0.211,0.183,0.139,0.153
Malta,0.518,0.562,0.575,0.376,0.375
Mauritania,0.219,0.227,0.202,0.134,0.106
Mauritius,0.377,0.37,0.361,0.245,0.215
Mexico,0.141,0.117,0.121,0.069,0.074
Moldova,0.21,0.2,0.209,0.171,0.181
Mongolia,0.332,0.345,0.338,0.253,0.235
Montenegro,0.161,0.172,0.198,0.111,0.142
Morocco,0.072,0.041,0.032,0.026,0.036
Myanmar,0.796,0.82,0.838,0.598,0.566
Nepal,0.323,0.382,0.394,0.302,0.285
Netherlands,0.476,0.474,0.47,0.333,0.322
New Zealand,0.475,0.494,0.5,0.365,0.33
Nicaragua,0.278,0.298,0.302,0.208,0.2
Niger,0.194,0.21,0.229,0.175,0.188
Nigeria,0.272,0.232,0.231,0.201,0.215
Norway,0.347,0.379,0.362,0.286,0.271
Pakistan,0.337,0.312,0.315,0.216,0.22
Palestinian Territories,0.113,0.112,0.114,0.086,0.103
Panama,0.244,0.242,0.211,0.125,0.109
Paraguay,0.342,0.253,0.224,0.162,0.184
Peru,0.15,0.145,0.127,0.092,0.083
Philippines,0.25,0.217,0.194,0.12,0.117
Poland,0.168,0.144,0.158,0.108,0.117
Portugal,0.137,0.117,0.095,0.055,0.047
Qatar,0.326,0.324,0.33,0.256,0.22
Romania,0.137,0.129,0.134,0.088,0.083
Russia,0.002,0.027,0.052,0.065,0.082
Rwanda,0.226,0.236,0.253,0.2,0.217
Saudi Arabia,0.137,0.155,0.148,0.098,0.08
Senegal,0.208,0.191,0.183,0.138,0.153
Serbia,0.192,0.207,0.22,0.134,0.137
Sierra Leone,0.215,0.239,0.293,0.238,0.252
Singapore,0.311,0.327,0.346,0.261,0.271
Slovakia,0.169,0.138,0.137,0.118,0.121
Slovenia,0.253,0.257,0.243,0.16,0.144
South Africa,0.12,0.137,0.139,0.103,0.13
South Korea,0.186,0.188,0.207,0.175,0.175
Spain,0.182,0.177,0.19,0.142,0.153
Sri Lanka,0.408,0.47,0.491,0.307,0.244
Sweden,0.363,0.383,0.385,0.285,0.267
Switzerland,0.297,0.281,0.291,0.256,0.263
Syria,0.472,0.484,0.494,0.376,0.331
Tajikistan,0.23,0.26,0.249,0.187,0.23
Tanzania,0.344,0.315,0.354,0.27,0.276
Thailand,0.576,0.587,0.572,0.364,0.359
Togo,0.167,0.175,0.197,0.158,0.177
Tunisia,0.064,0.039,0.05,0.04,0.059
Turkey,0.123,0.047,0.047,0.106,0.083
Turkmenistan,0.17,0.226,0.25,0.199,0.244
Uganda,0.291,0.271,0.326,0.259,0.252
Ukraine,0.153,0.204,0.27,0.187,0.187
United Arab Emirates,0.264,0.266,0.361,0.186,0.262
United Kingdom,0.519,0.502,0.493,0.262,0.348
United States,0.401,0.411,0.393,0.291,0.28
Uruguay,0.232,0.181,0.175,0.13,0.127
Uzbekistan,0.228,0.343,0.416,0.328,0.322
Venezuela,0.058,0.043,0.065,0.056,0.064
Vietnam,0.169,0.251,0.235,0.177,0.147
Yemen,0.091,0.098,0.104,0.083,0.108
Zambia,0.196,0.179,0.25,0.221,0.247
Zimbabwe,0.19,0.185,0.189,0.132,0.151
