Country_or_region,2015,2016,2017,2018,2019
Israel,1.224,0.995,1.376,1.559,1.455
Italy,1.198,1.042,1.445,1.501,1.488
Ivory Coast,0.771,0.576,0.905,0.872,0.808
Jamaica,1.151,0.964,1.368,1.493,1.478
Japan,1.257,1.061,1.436,1.462,1.419
Jordan,1.054,0.862,1.239,1.265,1.225
Kazakhstan,1.122,0.955,1.384,1.516,1.508
Kenya,0.999,0.762,1.068,1.048,0.983
Kosovo,0.812,0.661,1.138,1.23,1.232
Kuwait,1.166,0.878,1.26,1.301,1.319
Kyrgyzstan,1.151,0.954,1.394,1.416,1.438
Latvia,1.096,0.95,1.405,1.454,1.465
Lebanon,0.8,0.642,1.13,1.179,1.224
Liberia,0.79,0.504,0.872,0.858,0.922
Libya,1.119,0.951,1.358,1.35,1.303
Lithuania,1.257,1.064,1.474,1.527,1.515
Luxembourg,1.22,1.04,1.458,1.52,1.479
Madagascar,0.668,0.461,0.913,0.908,0.916
Malawi,0.411,0.147,0.513,0.541,0.56
Malaysia,1.07,0.88,1.285,1.258,1.171
Mali,1.035,0.863,1.281,1.233,1.105
Malta,1.302,1.099,1.488,1.525,1.52
Mauritania,0.869,0.841,1.272,1.245,1.167
Mauritius,0.985,0.757,1.21,1.387,1.402
Mexico,0.915,0.715,1.211,1.252,1.323
Moldova,1.015,0.831,1.252,1.301,1.328
Mongolia,1.301,1.09,1.493,1.517,1.531
Montenegro,0.906,0.742,1.238,1.279,1.361
Morocco,0.641,0.386,0.775,0.797,0.782
Myanmar,0.709,0.7,1.123,1.174,1.181
Nepal,0.864,0.697,1.179,1.228,1.226
Netherlands,1.28,1.029,1.429,1.488,1.522
New Zealand,1.32,1.173,1.548,1.601,1.557
Nicaragua,1.142,0.895,1.287,1.319,1.325
Niger,0.773,0.605,0.993,0.867,0.774
Nigeria,0.904,0.645,1.216,1.172,1.111
Norway,1.331,1.127,1.534,1.582,1.582
Pakistan,0.414,0.261,0.673,0.81,0.886
Palestinian Territories,0.926,0.716,1.156,1.217,1.247
Panama,1.199,0.989,1.373,1.438,1.442
Paraguay,1.305,1.111,1.507,1.522,1.475
Peru,0.975,0.813,1.219,1.249,1.274
Philippines,1.035,0.879,1.254,1.312,1.293
Poland,1.279,1.047,1.446,1.448,1.438
Portugal,1.139,0.944,1.367,1.429,1.431
Qatar,1.079,0.88,1.274,1.303,1.313
Romania,0.886,0.728,1.15,1.219,1.232
Russia,1.236,1.053,1.469,1.479,1.452
Rwanda,0.774,0.616,0.946,0.896,0.711
Saudi Arabia,1.084,0.848,1.287,1.331,1.357
Senegal,0.976,0.774,1.18,1.117,1.134
Serbia,1.01,0.813,1.258,1.369,1.383
Sierra Leone,0.956,0.628,0.984,0.813,0.841
Singapore,1.02,0.868,1.354,1.451,1.463
Slovakia,1.27,1.083,1.505,1.537,1.504
Slovenia,1.274,1.056,1.453,1.506,1.523
South Africa,1.185,0.961,1.385,1.41,1.351
South Korea,0.958,0.722,1.128,1.204,1.219
Spain,1.314,1.129,1.532,1.538,1.484
Sri Lanka,1.019,0.848,1.26,1.314,1.265
Sweden,1.289,1.088,1.478,1.501,1.487
Switzerland,1.35,1.145,1.517,1.549,1.526
Syria,0.475,0.149,0.396,0.382,0.378
Tajikistan,0.856,0.756,1.271,1.166,1.098
Tanzania,1.003,0.776,1.042,0.991,0.885
Thailand,1.265,1.045,1.426,1.417,1.409
Togo,0.14,0.0,0.432,0.474,0.572
Tunisia,0.604,0.432,0.868,0.906,1.0
Turkey,0.946,0.877,1.338,1.38,1.36
Turkmenistan,1.227,1.038,1.493,1.533,1.538
Uganda,1.133,0.91,1.13,1.09,1.069
Ukraine,1.203,1.014,1.395,1.413,1.39
United Arab Emirates,1.126,0.871,1.266,0.776,1.31
United Kingdom,1.285,1.087,1.496,1.433,1.538
United States,1.247,1.048,1.42,1.471,1.457
Uruguay,1.209,1.031,1.412,1.459,1.465
Uzbekistan,1.34,1.168,1.549,1.584,1.529
Venezuela,1.256,1.033,1.431,1.469,1.427
Vietnam,0.912,0.791,1.277,1.365,1.346
Yemen,0.681,0.475,0.935,1.073,1.163
Zambia,0.916,0.638,1.003,1.047,1.058
Zimbabwe,1.033,0.715,1.083,1.094,1.114
