Country_or_region,2015,2016,2017,2018,2019
Georgia,4.297,4.252,4.286,4.34,4.519
Germany,6.75,6.994,6.951,6.965,6.985
Ghana,4.633,4.276,4.12,4.657,4.996
Greece,4.857,5.033,5.227,5.358,5.287
Guatemala,6.123,6.324,6.454,6.382,6.436
Guinea,3.656,3.607,3.507,3.964,4.534
Haiti,4.518,4.028,3.603,3.582,3.597
Honduras,4.788,4.871,5.181,5.504,5.86
Hungary,4.8,5.145,5.324,5.62,5.758
Iceland,7.561,7.501,7.504,7.495,7.494
India,4.565,4.404,4.315,4.19,4.015
Indonesia,5.399,5.314,5.262,5.093,5.192
Iran,4.686,4.813,4.692,4.707,4.548
Iraq,4.677,4.575,4.497,4.456,4.437
Ireland,6.94,6.907,6.977,6.977,7.021
Israel,7.278,7.267,7.213,6.814,7.139
Italy,5.948,5.977,5.964,6.0,6.223
Ivory Coast,3.655,3.916,4.18,4.671,4.944
Jamaica,5.709,5.51,5.311,5.89,5.89
Japan,5.987,5.921,5.92,5.915,5.886
Jordan,5.192,5.303,5.336,5.161,4.906
Kazakhstan,5.855,5.919,5.819,5.79,5.809
Kenya,4.419,4.356,4.553,4.41,4.509
Kosovo,5.589,5.401,5.279,5.662,6.1
Kuwait,6.295,6.239,6.105,6.083,6.021
Kyrgyzstan,5.286,5.185,5.004,5.131,5.261
Latvia,5.098,5.56,5.85,5.933,5.94
Lebanon,4.839,5.129,5.225,5.358,5.197
Liberia,4.571,3.622,3.533,3.495,3.975
Libya,5.754,5.615,5.525,5.566,5.525
Lithuania,5.833,5.813,5.902,5.952,6.149
Luxembourg,6.946,6.871,6.863,6.91,7.09
Madagascar,3.681,3.695,3.644,3.774,3.933
Malawi,4.292,4.156,3.97,3.587,3.41
Malaysia,5.77,6.005,6.084,6.322,5.339
Mali,3.995,4.073,4.19,4.447,4.39
Malta,6.302,6.488,6.527,6.627,6.726
Mauritania,4.436,4.201,4.292,4.356,4.49
Mauritius,5.477,5.648,5.629,5.891,5.888
Mexico,7.187,6.778,6.578,6.488,6.595
Moldova,5.889,5.897,5.838,5.64,5.529
Mongolia,4.874,4.907,4.955,5.125,5.285
Montenegro,5.192,5.161,5.237,5.347,5.523
Morocco,5.013,5.151,5.235,5.254,5.208
Myanmar,4.307,4.395,4.545,4.308,4.36
Nepal,4.514,4.793,4.962,4.88,4.913
Netherlands,7.378,7.339,7.377,7.441,7.488
New Zealand,7.286,7.334,7.314,7.324,7.307
Nicaragua,5.828,5.992,6.071,6.141,6.105
Niger,3.845,3.856,4.028,4.166,4.628
Nigeria,5.268,4.875,5.074,5.155,5.265
Norway,7.522,7.498,7.537,7.594,7.554
Pakistan,5.194,5.132,5.269,5.472,5.653
Palestinian Territories,4.715,4.754,4.775,4.743,4.696
Panama,6.786,6.701,6.452,6.43,6.321
Paraguay,5.878,5.538,5.493,5.681,5.743
Peru,5.824,5.743,5.715,5.663,5.697
Philippines,5.073,5.279,5.43,5.524,5.631
Poland,5.791,5.835,5.973,6.123,6.182
Portugal,5.102,5.123,5.195,5.41,5.693
Qatar,6.611,6.375,6.375,6.374,6.374
Romania,5.124,5.528,5.825,5.945,6.07
Russia,5.716,5.856,5.963,5.81,5.648
Rwanda,3.465,3.515,3.471,3.408,3.334
Saudi Arabia,6.411,6.379,6.344,6.371,6.375
Senegal,3.904,4.219,4.535,4.631,4.681
Serbia,5.123,5.177,5.395,5.398,5.603
Sierra Leone,4.507,4.635,4.709,4.571,4.374
Singapore,6.798,6.739,6.572,6.343,6.262
Slovakia,5.995,6.078,6.098,6.173,6.198
Slovenia,5.848,5.768,5.758,5.948,6.118
South Africa,4.642,4.459,4.829,4.724,4.722
South Korea,5.984,5.835,5.838,5.875,5.895
Spain,6.329,6.361,6.403,6.31,6.354
Sri Lanka,4.271,4.415,4.44,4.471,4.366
Sweden,7.364,7.291,7.284,7.314,7.343
Switzerland,7.587,7.509,7.494,7.487,7.48
Syria,3.006,3.069,3.462,3.462,3.462
Tajikistan,4.786,4.996,5.041,5.199,5.467
Tanzania,3.781,3.666,3.349,3.303,3.231
Thailand,6.455,6.474,6.424,6.072,6.008
Togo,2.839,3.303,3.495,3.999,4.085
Tunisia,4.739,5.045,4.805,4.592,4.461
Turkey,5.332,5.389,5.5,5.483,5.373
Turkmenistan,5.548,5.658,5.822,5.636,5.247
Uganda,3.931,3.739,4.081,4.161,4.189
Ukraine,4.681,4.324,4.096,4.103,4.332
United Arab Emirates,6.901,6.573,6.648,6.774,6.825
United Kingdom,6.867,6.725,6.714,7.19,7.054
United States,7.119,7.104,6.993,6.886,6.892
Uruguay,6.485,6.545,6.454,6.379,6.293
Uzbekistan,6.003,5.987,5.971,6.096,6.174
Venezuela,6.81,6.084,5.25,4.806,4.707
Vietnam,5.36,5.061,5.074,5.103,5.175
Yemen,4.077,3.724,3.593,3.355,3.38
Zambia,5.129,4.795,4.514,4.377,4.107
Zimbabwe,4.61,4.193,3.875,3.692,3.663
